5000 100000
1077 3996 40
1564 4310 30
4950 3013 13
3727 4761 38
3333 3380 41
3200 3241 41
702 2852 50
198 4518 3
2391 3605 22
1160 755 7
2125 3500 3
4116 1240 43
3562 1070 22
1999 3837 50
1756 2017 18
1410 4588 20
4301 2304 19
4864 523 30
113 2520 11
2904 4928 48
4722 4133 27
2692 2002 33
2164 1425 30
4770 4618 15
874 3297 49
4622 2720 38
4113 2834 24
1916 3279 38
2454 2272 18
217 4489 27
1020 3782 20
4638 12 2
3681 4352 47
1401 694 37
754 2196 31
2012 882 43
659 3721 17
2891 3784 8
871 2633 15
2642 2166 31
2343 203 6
667 1078 11
4041 4616 31
4856 2844 11
2838 470 38
155 4533 17
393 279 15
3080 1123 19
970 3654 30
699 4897 18
1487 1616 1
94 1705 23
1846 615 1
4022 4482 48
1283 3601 45
3470 130 16
756 4990 7
1844 4753 19
978 756 1
1191 4806 24
392 2010 33
3693 162 47
1077 2167 4
1938 643 11
3257 4015 6
1359 2199 19
2478 363 26
3323 1801 38
4200 2366 3
1737 1844 6
1428 2531 2
3344 2155 33
662 3774 2
2337 4696 15
4240 2322 34
1743 4873 1
529 1252 17
4685 1731 24
1824 3127 43
2656 3237 11
4321 917 37
2011 3588 22
3710 1853 42
3983 3590 31
4409 4109 40
4070 4802 25
4431 4470 40
616 3712 3
1542 1321 36
4711 4142 32
3137 4000 44
3269 4854 25
4864 2401 3
1742 1250 21
934 3678 38
1296 3953 27
1022 3724 21
2689 1567 31
1792 4041 39
3759 2596 26
2303 1761 9
2487 412 24
3937 540 24
2190 2308 46
317 2885 34
1593 1864 47
29 979 36
4462 3551 14
2154 2712 38
3551 1882 42
3413 2907 6
4151 1501 32
3238 2317 13
4490 3583 46
3392 2470 30
2784 1380 23
3445 4333 27
2725 1424 43
3454 4184 33
2287 294 2
2466 947 2
3026 4693 5
1660 3098 2
4762 1433 5
3695 2026 33
1536 3571 2
1014 1704 19
4692 1692 30
802 591 11
2150 2944 9
299 3321 6
247 3291 9
470 4242 34
1430 968 23
3995 3267 48
2717 1731 12
4519 1274 30
408 1588 41
4744 491 6
1370 4646 33
4857 2059 6
4166 3302 36
585 2940 45
2403 3575 49
3579 336 24
235 4933 30
3112 4921 1
2971 2072 15
2097 3761 16
2268 4262 34
3304 867 15
3938 2996 43
3003 279 33
4575 3597 37
1194 2236 31
1338 3315 5
1286 1816 34
2218 1785 28
280 3600 36
3560 4149 2
3840 3065 10
200 4795 27
1337 3184 13
2536 4687 29
3577 2893 27
1706 236 27
3082 1846 9
4273 1165 43
376 545 30
1208 4335 50
4628 2329 41
2720 2000 19
2951 563 35
2335 1490 42
4767 943 44
4557 4519 23
90 755 23
1377 2343 7
4838 2758 27
1593 1673 9
449 3493 49
4248 3792 28
2325 619 31
1317 4236 31
2303 4643 21
2781 831 11
2327 380 7
1297 2515 26
2702 4097 8
4169 4040 16
3998 1938 1
4134 1169 42
1990 87 42
2223 891 43
3251 2656 2
246 1149 48
3 1552 26
851 104 39
4489 4450 5
1786 1299 7
257 2355 31
4069 2055 13
3316 448 14
4438 2389 48
2817 3268 32
996 1505 47
2412 1561 36
315 3980 16
1006 4223 9
2881 4998 34
602 624 48
2670 1445 20
349 1435 20
3285 1879 21
2146 3341 13
4061 4095 28
326 1202 27
2745 1181 39
583 3776 7
3192 2267 16
1492 972 34
3227 4086 41
1145 4109 37
1222 2747 25
4431 4277 3
3283 455 14
4893 696 13
169 3537 2
2085 2693 14
3937 3471 1
1948 4394 21
1785 3511 47
2253 1394 37
3292 2723 13
4689 1735 30
3305 893 44
2005 665 15
4007 2350 39
1546 1527 7
2948 1420 13
822 3461 15
182 3980 49
3035 3699 46
2622 3065 32
2073 3977 37
3658 959 49
383 2193 31
1831 4715 17
1878 939 2
1442 3148 46
4996 1375 44
1828 1990 48
328 3876 28
29 2617 49
3351 2452 47
2129 1515 14
1950 2878 42
4588 4341 49
1353 4154 45
827 3574 24
715 2108 30
3520 1571 6
1983 3453 32
4585 2642 23
1535 2548 46
1194 4090 41
36 4928 27
1248 4269 44
1151 3366 4
2737 3485 45
3078 977 46
1032 1019 3
1188 1045 22
3875 1292 4
4674 1192 44
2827 4565 18
4162 2075 42
705 4104 12
3542 4544 30
2937 1037 42
1528 3791 6
3688 2960 4
2965 3336 26
3918 3981 2
944 1206 41
1966 236 6
1193 1245 50
3090 3963 4
742 1302 36
2171 4411 3
2943 881 49
3976 1829 40
1112 281 44
186 3228 8
1705 456 42
295 3145 48
495 559 39
4034 1813 35
4783 4292 8
856 857 30
3835 3569 39
260 776 28
1762 2877 32
2566 1158 22
2791 3956 11
2720 718 15
1027 4922 23
1628 2867 48
391 3521 35
2964 2416 24
2353 3770 3
4862 4416 3
864 3921 41
2429 3031 19
1340 159 41
2346 4890 3
4063 1983 11
1098 3134 26
2557 2104 31
2919 3107 10
4430 3326 22
421 1652 29
3739 3572 19
3673 3067 23
2244 4274 4
3046 1146 37
4747 1840 17
209 3785 25
1579 232 46
905 3692 31
2376 3480 26
2413 433 36
3176 784 47
3789 1015 36
3468 3009 7
3918 4848 32
203 83 40
1886 3775 37
2795 66 25
2183 1943 42
3013 3249 36
2958 728 13
4424 687 40
3530 2811 6
4285 2605 2
3074 2512 46
4614 2684 33
1974 2695 41
898 84 43
2584 3492 36
2363 391 44
4994 4135 25
4834 3109 4
740 4559 13
3024 3170 2
2448 3273 5
4089 3211 39
4475 2845 24
515 4309 41
3601 2333 44
536 4040 8
3037 3981 22
822 4606 48
20 1464 5
1661 3906 17
1777 4011 36
1178 682 17
2124 4447 9
3928 4528 49
455 3705 2
1262 428 49
1238 646 11
2315 2130 37
2155 4198 3
1042 2497 47
1678 2093 15
689 1297 3
3729 3991 29
2348 3352 11
3553 239 13
4898 440 5
381 1524 44
1560 1313 40
26 3452 6
3903 785 8
58 1061 43
2821 2958 3
1130 2977 3
4439 1281 14
3455 1281 10
2079 3396 41
1255 322 29
2142 1453 27
955 745 26
564 1314 11
4853 1514 44
3953 1302 13
1339 2497 38
2980 3192 14
3012 4652 36
4286 2998 29
2962 1753 16
1002 368 10
2362 3356 20
4809 3200 34
1556 3053 39
2073 2369 9
3784 3622 42
228 3338 25
4086 3329 24
4454 3766 47
137 3016 41
2759 105 1
1009 3460 48
4033 2555 24
3468 1319 18
2746 2269 49
1174 2373 24
1617 3223 33
1777 757 23
3490 2793 22
318 2123 6
455 4352 33
714 4540 36
1009 2601 4
3179 3238 30
2618 4163 20
4118 3464 23
3835 1313 41
3453 2443 46
3991 4006 34
388 429 28
3118 4637 46
1783 4693 23
3515 2364 10
4893 644 42
4489 2948 3
2830 4521 20
987 3331 44
3206 1901 9
2078 1605 45
4720 3800 34
326 748 28
4448 4692 28
1676 1029 45
50 55 49
3909 1830 39
1262 4173 10
2366 1099 7
984 2584 10
1875 1083 36
1711 3556 3
3261 3143 24
3078 1912 41
1183 2562 14
2538 203 4
2663 997 13
3067 979 31
2316 4411 1
1087 3815 11
2209 309 44
3438 3662 41
4906 594 46
1122 3367 3
1208 3929 12
3271 34 35
2412 1214 28
439 3404 38
1692 1192 49
3 1811 10
2128 3255 15
888 2436 29
194 155 24
1669 658 19
1109 4286 21
1253 213 5
3467 1679 12
3268 1564 25
2979 2775 2
3360 68 20
702 4328 24
4963 241 14
311 1522 16
2820 1105 30
2837 2845 39
715 1777 41
325 2121 20
4619 3480 45
1151 1747 49
3799 2831 5
4206 200 20
2637 3810 43
3477 4859 17
2828 4039 10
384 473 45
1903 1124 25
3314 2265 15
1639 3249 46
2370 2795 45
3125 1919 30
4068 4288 40
3419 2078 34
3409 3090 8
4841 3 49
290 3907 44
2500 4598 15
3152 2266 10
1463 3164 38
4680 3372 29
1087 975 10
3552 1205 25
1919 236 15
3748 3196 39
3692 3410 40
2181 140 38
