5000 20000
312 2689 13
2734 1681 25
3125 1912 7
360 2106 18
3866 4846 21
1648 668 3
47 3283 16
3269 3297 4
4651 1262 10
4414 1342 18
3500 2991 25
2353 1759 24
3158 800 18
3027 3087 20
4697 1294 16
4129 4535 3
4531 312 7
331 20 8
4047 74 4
528 3621 21
46 2551 29
774 2879 1
2286 434 14
3876 3161 25
1438 87 7
2348 3346 8
4352 1457 7
364 1058 13
2756 2313 12
2401 4262 30
4035 3113 28
500 1100 22
1886 815 19
781 3402 13
3156 239 14
2908 4960 20
2544 953 16
3114 3640 17
1583 3501 16
4196 2865 15
2812 4989 4
2473 3639 1
329 3364 22
3487 93 16
671 1580 19
2887 1967 19
1241 1844 26
286 1685 3
334 394 26
2330 1316 12
156 1886 1
2602 4937 27
563 1891 25
2892 1112 16
2469 199 25
266 3195 22
2873 1144 8
1259 3831 21
4651 2676 12
3669 3245 4
4406 552 29
4241 720 12
1513 1988 12
2438 842 23
471 170 26
97 3178 25
884 2373 13
2211 2610 2
2849 182 18
4248 3757 30
2181 4747 5
3040 2476 11
2201 154 2
3931 63 16
2177 1679 4
1592 1000 10
3775 2223 13
4412 3674 12
2562 332 8
165 2329 22
1531 450 26
4016 1526 7
4608 1651 27
3658 1210 8
2362 4999 30
2269 3561 10
375 989 28
423 2561 11
3289 2302 19
3817 3138 8
2785 2959 2
2421 1076 12
4252 1492 6
4410 3067 13
500 547 28
1969 3423 17
3545 4428 1
74 698 22
2149 150 26
2164 3358 22
4605 2278 27
2218 525 22
3886 2233 6
3941 1491 12
2433 4905 24
4583 4602 24
4238 849 29
66 3073 26
3390 1208 24
2923 418 29
3325 571 17
2152 3699 19
2591 640 10
4463 1222 17
1066 1152 20
2520 1401 7
2123 192 9
4876 156 18
2896 1944 26
3125 471 30
1660 1597 21
2400 555 7
1279 2234 15
4596 541 15
2815 3008 11
2173 1790 15
2898 3267 15
4744 2707 4
2185 228 18
3782 3960 9
4288 3585 14
50 3993 27
1541 1110 2
3447 2199 8
3233 4605 2
2489 732 5
3898 1840 21
4678 3502 22
2350 4205 9
3356 1949 11
3414 3198 2
2696 1103 16
1528 1756 5
200 4580 8
4364 655 13
299 4096 12
3681 947 9
743 1521 23
4640 148 22
4404 2777 11
3410 22 29
860 4120 11
76 1756 25
2559 1030 23
371 2703 26
1783 1866 13
3217 4865 2
3664 501 13
4747 364 16
698 4630 16
1366 361 12
2709 4643 23
1808 4367 20
1067 3936 24
1416 4370 9
3238 3530 12
2267 2368 1
4099 3378 20
2233 604 21
1714 1284 28
3796 4022 8
2772 80 9
4037 4557 21
2195 4017 25
2349 3000 10
1993 3383 11
3209 599 10
1030 4476 4
1705 165 13
1204 1096 5
4088 202 12
3051 2494 15
3370 894 18
4163 2320 8
3604 4808 19
446 1910 16
2614 4680 19
823 1543 24
1201 3881 21
2486 1726 26
2868 3879 2
1022 4220 11
4835 4092 27
3628 628 12
1597 91 30
560 3974 28
2356 4894 4
4374 1305 16
