1000 5000
179 522 3
432 481 6
592 349 6
417 901 4
995 963 3
836 338 8
948 759 7
648 380 1
972 284 4
875 664 4
20 861 10
0 547 2
813 106 7
562 618 3
639 722 4
752 331 2
618 808 7
126 497 3
639 466 8
644 598 7
405 537 7
848 431 5
776 587 10
196 521 3
975 798 4
556 68 5
242 922 7
92 543 1
827 939 3
83 975 1
281 136 7
793 457 4
643 815 9
966 770 2
618 345 9
379 115 6
355 461 8
309 806 9
91 253 5
180 717 5
506 741 6
820 566 10
576 67 7
247 415 5
450 378 3
684 103 2
425 581 6
607 723 6
347 738 7
547 883 1
45 267 2
360 76 9
937 692 10
768 219 10
204 630 7
526 520 2
158 338 2
842 131 6
207 353 5
501 436 7
236 744 9
297 938 6
654 338 1
692 182 6
173 493 10
687 684 3
399 971 2
715 450 10
90 752 10
35 768 7
175 942 5
590 967 7
440 882 7
558 190 7
430 559 8
184 482 9
642 552 3
670 742 9
276 261 3
4 832 10
286 644 10
608 328 1
223 296 1
319 279 10
758 976 9
585 759 7
650 451 4
390 66 3
470 843 7
335 748 1
712 270 5
535 354 1
330 743 8
390 315 7
922 74 2
329 815 3
535 940 6
620 219 5
344 671 5
99 975 4
692 164 10
660 491 2
177 713 5
275 333 1
372 187 2
178 990 1
953 818 1
522 461 9
45 112 3
947 626 4
221 664 3
840 837 6
705 464 1
70 490 8
771 802 7
88 151 2
702 330 8
160 53 1
153 233 1
222 536 4
866 661 10
530 33 8
256 306 5
662 63 1
994 426 4
13 71 9
276 291 2
323 639 10
595 727 3
669 214 5
601 234 6
91 103 1
272 557 3
631 908 9
73 243 3
256 683 9
976 281 7
974 38 2
459 374 7
515 883 6
223 345 9
253 881 3
967 713 4
966 262 8
210 541 9
20 641 4
294 651 4
134 432 5
531 875 2
958 707 1
839 493 9
552 665 8
613 133 2
285 935 6
965 634 4
568 956 10
113 689 5
20 92 4
254 167 9
953 205 10
518 631 5
519 279 5
30 726 5
34 250 8
65 728 2
501 652 2
291 441 1
932 432 3
263 452 2
806 465 3
591 381 6
877 211 8
769 899 10
899 160 2
748 408 10
922 261 7
396 690 8
969 983 9
933 102 2
228 792 1
223 18 3
240 156 9
114 210 3
119 910 3
660 73 8
519 462 10
141 988 5
939 279 10
420 787 3
524 510 8
70 285 10
536 254 9
431 513 3
815 221 5
633 928 7
756 163 4
0 156 7
991 524 1
425 601 9
816 316 7
36 988 5
10 367 2
705 358 4
998 691 8
513 248 5
607 674 10
689 422 2
243 39 10
35 390 7
447 82 10
411 798 4
940 58 2
768 743 8
478 369 7
181 939 5
945 936 1
240 207 5
152 727 8
574 990 10
249 601 9
818 288 9
863 813 5
194 572 5
616 55 1
289 408 2
171 314 1
828 796 6
848 83 8
228 525 9
750 943 3
675 26 6
239 300 5
109 671 8
522 950 10
16 578 1
580 748 2
675 570 7
498 565 8
662 36 7
897 102 6
542 690 6
219 948 9
329 15 7
681 597 4
985 709 6
714 35 5
387 598 8
460 575 2
723 799 9
322 602 10
250 517 4
348 272 10
375 873 5
899 165 5
561 592 9
316 290 3
770 864 6
273 806 8
852 683 2
955 262 2
632 705 4
512 172 7
217 162 5
135 685 3
18 692 9
732 334 6
189 854 7
114 393 7
513 723 8
607 546 7
853 420 2
414 92 8
707 59 2
994 225 9
13 745 3
348 774 2
999 693 8
649 771 9
242 673 1
958 650 3
783 398 9
655 578 2
749 793 1
378 328 9
941 655 6
275 700 6
894 393 4
679 270 10
694 79 8
363 376 2
550 670 1
576 837 9
941 734 6
469 411 2
545 166 9
931 235 3
762 880 5
75 907 4
624 569 2
478 766 1
728 356 9
230 658 8
387 607 5
236 858 7
445 947 6
674 200 1
404 963 10
756 520 8
671 584 10
923 160 2
58 966 6
858 859 9
986 268 4
431 571 3
659 633 9
389 22 8
389 406 4
223 910 2
628 727 7
934 774 10
264 902 5
296 783 10
651 432 5
719 213 1
179 43 8
976 877 10
645 910 7
902 510 4
110 533 6
152 370 5
63 366 5
24 466 9
1 638 7
82 115 5
614 334 7
700 374 1
137 399 2
546 173 8
216 306 10
693 858 2
341 16 1
115 859 7
104 187 10
629 217 4
495 795 2
993 704 6
5 451 7
858 360 10
953 873 6
787 529 4
516 336 1
2 435 4
801 918 9
818 926 10
947 115 1
65 253 1
406 126 2
832 61 2
430 111 10
815 315 3
624 435 1
729 353 1
383 405 5
259 142 8
778 929 6
773 821 3
721 311 7
96 501 10
638 343 3
781 966 8
867 303 9
287 99 4
139 652 2
911 715 8
200 969 10
311 56 8
910 407 10
173 306 6
96 374 6
50 183 6
289 674 10
656 553 4
429 257 10
909 544 3
57 259 1
225 243 9
51 241 9
682 875 6
491 226 2
474 477 10
252 454 8
21 396 6
715 136 7
386 473 8
618 401 9
607 62 10
12 218 8
447 792 4
226 818 9
956 241 9
501 930 10
84 588 4
174 551 8
89 432 10
324 579 6
239 577 2
276 310 5
870 208 2
605 480 1
929 468 8
751 135 9
508 511 5
687 976 10
167 253 8
113 427 9
485 989 2
530 976 5
300 961 2
980 287 5
94 637 3
24 482 1
265 697 4
175 584 5
517 851 9
56 763 9
994 631 9
997 746 7
375 572 10
7 500 10
955 806 9
421 402 5
205 759 6
359 497 5
976 413 5
214 470 6
746 306 1
291 939 7
470 384 1
708 494 3
325 750 4
745 69 4
167 227 10
489 614 10
85 542 10
949 683 6
536 991 8
964 501 5
148 829 6
111 312 5
44 702 4
566 958 10
46 718 2
297 661 5
311 33 5
498 48 1
993 292 7
59 279 10
190 231 8
452 60 1
332 83 7
909 798 3
17 733 6
475 163 1
570 205 8
616 179 5
908 484 9
12 756 1
421 187 6
863 172 10
871 235 8
171 900 6
175 267 3
782 582 8
952 918 4
808 85 8
898 0 4
11 300 2
979 228 3
933 358 4
550 934 8
606 329 7
950 357 1
934 282 6
97 528 9
293 395 1
54 312 4
173 659 4
191 828 8
647 125 9
482 556 2
277 512 5
955 862 2
235 493 2
435 911 7
729 394 5
157 705 7
91 798 2
442 190 9
969 840 1
377 488 5
659 461 7
131 599 3
85 63 4
807 235 9
66 794 7
588 52 8
518 637 10
673 142 3
500 367 5
356 562 2
961 704 8
489 243 5
867 939 8
577 450 3
730 272 7
432 647 8
2 292 3
597 585 1
704 70 7
249 937 10
478 247 2
246 606 10
187 126 10
294 995 6
540 950 9
586 138 2
371 643 6
159 640 8
595 661 6
365 48 2
923 987 5
446 889 9
423 935 9
975 667 9
675 270 4
376 44 9
169 723 2
711 436 3
341 53 2
253 685 10
132 728 3
239 464 3
500 859 9
89 92 6
605 13 8
383 615 3
876 535 5
253 854 6
398 336 4
443 938 2
138 32 5
226 789 4
366 151 6
111 552 2
607 310 7
483 834 6
930 364 5
669 749 6
484 596 1
559 500 1
761 987 8
814 961 1
734 159 6
509 879 7
890 327 3
692 272 2
669 809 7
622 912 10
895 678 4
633 800 6
0 825 9
174 595 5
687 603 1
7 129 1
975 927 5
261 198 9
458 307 10
564 469 7
879 998 2
724 56 8
237 521 2
463 556 8
424 834 2
549 630 9
784 638 5
329 753 6
39 24 1
491 726 9
709 710 6
826 172 3
71 176 6
277 224 9
398 949 7
954 557 8
796 531 8
229 976 6
627 269 3
106 905 5
310 237 10
882 37 2
19 341 9
895 129 6
960 606 10
535 815 8
979 541 8
939 373 10
447 516 7
282 630 6
419 686 8
145 668 8
433 770 4
544 416 2
545 992 1
851 30 4
164 31 6
534 323 6
147 118 8
727 997 9
460 866 6
904 872 4
414 759 1
696 697 5
627 703 2
42 286 6
880 435 3
428 469 9
640 947 9
650 712 1
780 991 4
594 506 6
998 198 8
675 987 6
899 999 9
389 271 6
636 352 10
340 414 4
742 119 6
658 494 4
707 188 9
839 54 10
49 666 10
579 183 4
400 289 9
533 991 2
754 524 7
605 403 5
783 153 7
386 93 8
221 738 3
313 309 1
484 22 8
70 133 5
631 947 5
19 979 1
510 4 3
341 398 9
413 925 1
745 435 8
761 436 5
731 785 2
260 32 2
512 244 4
658 661 3
483 303 1
39 585 3
723 462 8
42 903 10
493 831 3
926 728 9
856 933 6
832 529 3
348 620 1
817 718 9
457 423 5
644 519 3
457 127 3
428 357 3
973 339 4
962 141 10
333 290 5
344 369 2
524 120 1
573 161 7
590 589 10
488 751 6
811 445 3
848 938 7
799 564 9
261 927 5
30 506 4
445 700 1
472 849 2
420 15 3
268 960 8
771 96 7
779 157 1
922 584 10
47 316 3
26 885 2
243 629 10
899 984 5
547 256 4
523 342 8
998 66 2
834 747 1
368 619 9
745 6 6
563 52 9
860 546 6
364 157 2
872 20 5
35 876 1
370 951 9
560 814 7
460 468 7
540 923 1
714 702 10
654 668 3
716 596 3
67 213 2
961 428 2
147 127 10
407 721 9
915 899 1
129 67 1
908 489 5
749 435 1
845 142 3
438 524 6
790 367 7
684 273 3
381 462 6
858 277 5
139 768 6
872 461 8
787 818 10
174 756 8
19 934 6
526 985 2
56 885 6
500 718 7
385 175 3
815 236 10
31 146 4
197 733 9
671 534 10
116 52 6
409 999 6
206 990 7
346 392 4
568 401 1
620 376 2
490 318 1
380 742 6
901 853 10
507 275 2
773 991 10
230 228 9
649 423 1
997 401 6
127 1 4
264 927 4
963 533 4
246 564 5
819 573 6
608 754 3
953 565 2
704 619 6
869 132 6
9 837 10
960 476 5
439 159 3
183 108 5
752 458 3
735 38 2
939 377 9
433 768 2
646 50 6
715 748 5
531 138 7
657 145 10
153 143 2
800 680 10
