10000 10000
8491 6964 5
9331 2767 14
3163 6964 14
8363 252 18
3333 7849 10
3768 2926 10
4993 4105 2
5542 1010 9
6255 8445 19
8031 9042 14
1504 9598 20
2622 1732 17
1237 5191 18
7242 1136 4
3027 9077 15
952 8714 13
734 4424 16
31 1999 1
1027 6602 18
7141 5079 13
4881 7347 20
310 7323 12
893 2256 11
2182 6014 8
2765 8143 1
1571 134 10
6362 1582 8
1104 2959 20
1677 7544 17
6498 6050 13
6280 6258 17
2742 3084 1
4886 1041 10
8897 1222 7
8869 3447 17
6286 9490 18
4385 9788 7
3918 7516 19
1847 8644 14
5020 4176 1
678 3503 19
3197 8689 5
3320 7477 16
256 9327 5
6082 3557 14
337 7876 3
21 4225 6
7111 1982 12
1686 725 12
3898 3308 17
9658 8804 8
8725 7183 14
5718 6015 12
8775 9140 17
5543 5416 6
1585 2824 3
1446 4090 19
2737 2788 8
7024 5784 19
4861 2649 4
9188 1025 18
4107 8630 15
5111 28 10
9403 2722 13
6200 7827 12
513 523 8
5630 8566 1
7847 5603 2
2304 6910 18
6837 8537 7
4621 7872 13
2166 7962 3
3638 4791 9
1644 7518 4
2010 9209 8
2528 3923 13
434 5109 9
839 762 16
7174 1212 5
9997 6558 3
6304 8668 16
8406 5915 2
1074 8784 16
1340 8878 4
5917 1717 12
2917 638 13
4109 5490 9
2794 9027 3
3987 3849 8
3858 8879 16
1305 4255 15
391 7811 7
5934 7453 8
6839 9172 11
6271 2156 6
1028 1695 9
4745 2823 20
591 3839 4
7817 6516 2
7261 3670 8
1720 3797 9
8383 3089 7
1538 6433 2
175 1311 2
6473 7617 9
3106 1894 2
7410 785 7
2566 4124 1
5346 2751 16
3925 9060 4
7049 4877 6
1317 9137 12
7908 112 20
4219 3421 6
3136 8070 11
6430 5572 19
2073 8392 15
5432 8184 9
6434 6147 7
3660 1007 4
2067 7479 12
2981 8315 8
576 1086 20
7724 8102 17
3373 7441 18
164 9540 8
8972 9462 3
9562 6848 15
4333 6982 5
5925 2611 10
9962 7555 8
6116 5136 20
259 1843 19
7746 6218 1
8384 7260 5
6931 6585 10
1711 8832 15
3152 4597 17
9027 8625 17
2644 5530 19
1352 4483 5
4765 4341 13
3660 6646 12
2790 4013 1
1866 8815 9
2677 9927 15
6893 9925 2
5844 2843 18
192 1673 19
6405 1543 3
6921 5646 13
2999 8092 16
7302 6774 3
7745 9464 4
7344 4741 16
2526 5444 7
1056 3164 20
1530 7151 9
3736 8578 13
8912 4789 13
2024 1505 19
8121 631 18
7393 6096 9
8419 8636 2
3248 4755 20
3766 6483 20
7331 8869 13
3223 2267 6
1500 1742 5
8283 747 6
544 8934 13
6244 6442 8
9095 2820 20
8431 1862 14
9202 2663 12
9201 9276 17
4395 3113 15
5903 9724 16
3474 764 11
9531 9610 7
7480 4629 19
4269 4541 13
6377 1809 12
2849 9762 15
89 5400 2
2479 2279 10
4069 9210 11
9444 9822 15
634 8595 10
2240 8370 4
8517 7205 5
8134 7888 15
5342 5678 17
213 4946 9
434 2828 1
5434 2908 16
3009 9647 4
286 5390 17
1712 85 12
8049 8627 18
3182 3487 2
8049 966 11
669 4594 16
4137 6851 17
7547 5492 11
2018 1637 17
6010 6687 10
1324 2035 13
5839 3349 8
717 9873 13
7263 1718 12
3153 4479 19
7260 7407 16
1623 4566 5
340 7386 7
9698 4193 8
6919 1025 19
731 1065 13
8903 5144 12
1992 8238 19
2520 7902 14
6961 5933 4
6610 8700 7
6080 5425 7
165 2950 14
2753 3067 8
3151 6893 3
8196 1901 2
9840 9551 1
4096 3960 11
8784 9783 13
4155 9389 4
569 8584 4
9307 8652 4
9606 8899 15
1515 8018 17
3018 3257 15
7909 186 9
5823 9631 7
8540 5515 18
1462 4121 19
2933 2211 19
1110 6805 7
1149 2117 9
4225 2340 15
5233 1564 9
9632 6546 20
5329 1750 3
1739 1961 4
4698 2807 15
9431 2680 7
1821 1920 11
9209 5367 1
7893 6587 11
1825 8180 5
6850 2215 15
6078 6522 6
7469 4952 18
8619 7681 4
1319 3584 2
1141 2542 8
4183 5784 2
2719 9867 4
1106 7196 7
9694 1484 14
295 979 11
2380 9088 19
9050 9081 4
2111 4251 12
2474 2593 7
5574 2191 8
6434 6303 5
9963 9911 3
8416 3892 14
9772 9665 6
5477 7607 3
3334 9936 6
5854 2026 14
3592 867 20
1333 9731 15
8208 477 10
2073 1513 10
3586 6338 2
4928 9963 6
6518 815 16
6036 4625 6
5437 3741 10
1817 5118 1
4571 3815 19
2041 3261 7
9023 5762 14
9753 1218 14
8418 2905 6
2540 1233 6
9948 1340 1
3607 5176 15
9436 4458 12
1311 2044 2
7960 6275 13
9283 7872 16
4998 3547 19
4463 6197 13
2823 7636 6
1031 999 12
5306 6510 20
2137 4800 8
794 3232 10
714 6679 12
1102 5563 4
3065 4913 3
6840 681 7
4800 223 10
4592 5515 19
8347 4204 11
125 3358 3
5843 810 4
2858 6516 14
4957 7135 6
8603 9261 16
1354 3413 8
6845 5373 8
7340 9463 11
7530 2858 12
2462 1738 6
1741 863 19
3867 2358 7
614 742 10
6935 6006 18
9340 9019 14
7813 8409 5
6041 6239 5
3690 8476 9
1818 2932 6
2402 5618 15
9255 3947 17
7357 2252 16
2333 1482 12
918 208 19
9640 3152 5
804 9401 19
9188 342 20
9083 3198 8
8867 7950 16
6759 134 16
4841 5237 13
3909 1331 11
3389 4116 16
8413 858 16
1833 5479 10
9517 2226 15
3129 2211 13
7986 2134 4
3530 9727 18
3734 4308 5
5401 623 18
75 9410 17
695 413 6
5779 2939 9
732 6621 16
5947 5466 17
328 3078 14
4792 8375 10
4208 1937 20
6200 2331 20
8807 8712 20
1738 1309 3
9653 6907 3
3767 2904 8
7102 1226 16
7463 4667 14
3482 8915 8
8423 4708 10
7651 8376 1
4111 6620 18
3775 7360 9
5412 7756 6
9706 9538 19
4205 4004 17
400 6636 8
1971 4858 19
3029 7164 10
3555 2548 20
6070 517 10
6705 3482 6
2066 5758 19
1893 469 11
1723 1629 14
8571 904 18
8164 1537 12
6838 6263 13
3850 1879 19
4662 2786 20
886 3787 7
2550 6248 14
8950 1638 1
5202 3914 18
3641 7842 2
196 3368 1
5866 3197 12
7323 6762 9
5956 4689 20
7145 6009 9
8699 56 12
3668 7164 18
2893 4754 11
1498 7006 11
6249 7474 19
2293 1072 7
2208 932 19
7867 1879 11
843 2579 6
6902 3361 18
9101 1821 5
7596 9417 7
520 532 4
8500 6929 15
1646 4329 19
7059 6690 13
6359 6783 12
9893 7640 9
8401 3093 8
5323 9376 17
7479 4975 5
796 3755 9
4949 6104 6
6858 2746 18
7310 4164 9
5600 3171 1
3641 4666 18
2189 5851 14
167 5204 7
3926 5794 13
511 4690 17
6368 9207 1
1842 6426 10
9496 2502 6
2970 5512 20
7328 7838 6
3103 7558 6
6532 2476 3
1513 7131 1
8579 7500 15
1680 4337 19
1148 2886 3
2789 8886 15
7021 1461 8
1452 4590 13
9278 2669 18
2082 3919 19
2099 869 9
1380 4509 9
5645 4390 13
5502 4973 10
2410 6755 15
7482 2750 9
6690 932 12
8744 8392 7
6774 5215 16
3458 878 14
3719 4416 9
8425 8904 3
7454 5287 3
9595 355 3
9225 8167 15
3683 5112 9
9140 7641 14
9027 1754 15
7728 9100 11
8790 3102 5
9312 1473 11
1621 4136 9
4279 7289 5
2500 1218 17
5162 7394 13
6412 7864 9
3958 9913 16
2858 4999 1
6337 4911 2
3906 9112 5
9323 8651 5
5656 5190 18
423 9255 11
625 2386 13
3960 4651 6
5503 772 14
427 9592 10
2292 2963 13
5340 7427 14
650 5415 5
7437 2919 11
6922 2419 19
7056 3195 7
8386 1318 19
5631 8739 16
9776 1564 11
6601 2711 6
1707 189 12
2600 6528 14
1724 7475 5
4688 5956 2
8377 4681 9
1060 726 16
6975 2327 9
5885 801 10
3125 8850 9
6465 7376 8
7049 4432 12
644 2976 18
8197 5515 9
1827 6819 19
5546 2837 10
6358 5455 7
8336 2123 14
5256 2554 16
7508 2989 18
1614 2342 10
8367 4377 11
4698 3724 6
1935 4592 20
9124 5262 20
6193 2682 15
8579 8332 20
443 4414 6
3336 484 13
1542 5977 15
8343 2233 18
7073 8381 15
9599 3937 8
53 593 19
3876 1025 1
2687 5031 8
4836 6632 11
759 8751 4
2336 615 1
6074 756 17
6127 191 10
8104 1650 12
3918 3920 18
6805 3352 17
5835 8286 8
5454 3832 15
6268 8407 15
9967 2673 6
5548 4221 19
8763 9625 3
236 9756 2
2520 9839 6
2317 5814 1
3878 7962 9
9225 4360 15
2694 924 13
7253 4822 9
1747 3998 9
8213 1063 11
7019 6713 17
3059 6615 17
9702 3402 2
8654 1849 8
8374 5768 3
8728 1310 20
97 9200 3
4757 971 3
5328 306 6
6005 6805 20
8744 5724 7
140 6581 20
5877 2404 7
1869 1714 20
4036 5246 10
4760 2405 8
